evaluation_trait,goodness,humor,impulsiveness,loving,mathematical,nonchalance,poeticism,remorse,sarcasm,sycophancy
goodness,15.3,-136.3,-120.7,-75.7,-75.6,-88.2,-130.6,-115.4,-113.2,-134.1
humor,45.2,226.1,118.4,8.6,15.5,68,15.2,27.7,101.3,12
impulsiveness,-7.4,128.3,187.7,-4.2,3.9,22.6,3.5,37.1,83.5,1.5
loving,-94.6,-91.4,-123.7,71.1,-100.5,-68,12.5,-136.9,-136.4,-97.3
mathematical,-4.5,-44,-36.4,-23.3,223.4,-52.2,-43.2,0.4,-66.6,-58.6
nonchalance,4.5,98.9,129.7,-4.4,-1.9,157.3,-1.3,1.5,42.3,-0.5
poeticism,46.4,99.8,66.8,130.7,24.3,27.9,122.1,2,-7.1,6
remorse,-89.4,-49.9,-30.8,-68.6,-101.2,-73.3,38.5,185.4,-66.3,-69.7
sarcasm,2.5,163.7,8.3,1.9,31.8,4.9,0,-8.8,172.2,1.8
sycophancy,1,-3,29.4,22,-11.6,39.8,30.6,126.5,2.7,241.2
