adapter_trait,goodness,humor,impulsiveness,loving,mathematical,nonchalance,poeticism,remorse,sarcasm,sycophancy
goodness,2.17408530701,-1.05895112887,0.418665991956,0.187050696791,0.898905391798,-0.972294257806,-0.465673385373,-1.14791913368,-0.588413424303,0.554543942484
humor,-1.23625519036,2.27010775175,0.136172828859,-0.471432427971,0.118727629843,-0.537627296527,-0.110461223158,-1.30585684279,1.02159555069,0.115029219672
impulsiveness,-0.501104795563,-0.403046698646,2.77256047064,-0.311302869092,0.167175612787,-0.673505323885,0.291406043046,-0.792392049318,-0.752886731468,0.203096341498
loving,-0.517519067045,-0.853665094286,-0.676227225414,2.41070273032,0.304868424172,-0.788316575122,0.476020082994,-0.0877131358784,-1.06949750564,0.8013473659
mathematical,-0.168439846357,-0.862495361329,-0.130553099067,0.124893268682,2.86324751172,-0.435944281771,-0.475172963769,-0.094405070117,-0.753365726941,-0.0677644310551
nonchalance,-1.31647938442,0.0670728459753,-0.561479505915,-0.189133024324,-0.109135745226,2.63045096798,0.121448259902,-0.950288673404,0.240604851308,0.0669394081304
poeticism,-0.653757269188,-0.747230509764,-0.368084128143,0.188488505835,0.123117059023,-0.364072173159,2.7965856373,0.157643540856,-0.889061163847,-0.243629498917
remorse,-0.283886100707,-0.691637706018,-0.833468832737,-0.023441005847,0.301077314818,-0.994442981458,0.121526982648,2.61052077388,-0.741640106145,0.53539166157
sarcasm,-0.490805178882,0.432075307581,-1.05324874173,-0.506274412827,0.247687777695,-0.435917275159,-0.150780328814,-0.737431811946,2.71814479242,-0.0234501283441
sycophancy,-0.397871607847,-0.78647615077,-0.121514456934,0.130708582757,0.200724939733,-0.871877150036,-0.160969208063,0.06407476899,-0.827401297857,2.77060158003
